block,title,link,summary,track,start_time,end_time,presenter,location
,Registration & Breakfast,,,transition,4/10/2025 8:00:00,4/10/2025 9:00:00,,Reception and Atrium
,Welcome,,,transition,4/10/2025 9:00:00,4/10/2025 9:45:00,,Stowe Rooms
Session Block A,Incorporating Online Tools in the Classroom,,,block,4/10/2025 10:00:00,4/10/2025 10:45:00,Ashley Newton,Pinnacle A
Session Block A,Career and Technical Education (CTE) Today,,"This session will provide an overview of Career and Technical Education (CTE) and its impact on students, particularly highlighting how CTE programs support student success and prepare them for future opportunities. Career and Technical Education (CTE) centers have a couple of unique advantages over traditional public schools.  One, they offer the programming that students are interested in, engagement; and two, they have an admissions process, selective.  However, they also have a great deal of state and federal requirements to meet and are monitored by the Agency of Education to a greater extent than their sending high schools.",block,4/10/2025 10:00:00,4/10/2025 10:45:00,Jodi Emerson,Pinnacle B
Session Block A,Flexible Pathways: A School Counselor’s Perspective.,,"With an ever-changing educational landscape, schools need to stay vigilant in offering the most relevant and inclusive opportunities to meet the needs of their student bodies. Thankfully, Vermont offers several creative opportunities or flexible pathways for students to engage in as they learn about the world around them. Join a discussion, from the lens of a school counselor, about what flexible pathways exist – Dual Enrollment, Early College, Career Technical Centers, Work-Based Learning, and Virtual/Blended Options. The conversation will also touch on how these pathways relate to Personalized Learning Plans (PLP’s) and how they can bolster student choice, voice, learning styles, postsecondary readiness, and overall success as a scholar.",block,4/10/2025 10:00:00,4/10/2025 10:45:00,Justin Pinard,Pinnacle C
Session Block B,Khanmigo AI,,,block,4/10/2025 11:00:00,4/10/2025 11:45:00,Jennifer Fribush,Pinnacle A
Session Block B,Strategies for Success in Online and Blended Teaching Methods: Supporting Diverse Learners,,"Learn how well-designed Online Dual Enrollment courses demonstrate best practices for teaching diverse learners in online and blended formats. Reduce cognitive load through strategies like clear instructions, consistent layouts, and scaffolding. Course design that prioritizes accessibility, with features like aligned objectives, intuitive navigation, and instructor presence through videos and one-on-one feedback. Tools such as checklists, templates, and self-monitoring resources help students stay organized and engaged. Activities are designed to be relevant and interactive, fostering active learning. These methods aim to support students, including those with learning differences, ensuring high retention, and passing rates.",block,4/10/2025 11:00:00,4/10/2025 11:45:00,Lori Harding,Pinnacle B
Session Block B,Teaching STEM / STEAM with Rapid Prototyping,,"STEM and STEAM have become essential components of K-12 education, offering incredible hands-on opportunities with cross-disciplinary approaches. These strategies provide learners with unique outlets to explore, create, and engage with real-world concepts in meaningful ways. One powerful way to bring STEM/STEAM to life is through rapid prototyping, which blends tools, software, creativity and practical problem-solving. This presentation will focus on three key rapid prototyping tools: 3D printers, laser engravers, and vinyl cutters. It aims to provide an understanding of these tools, demonstrate how they can be used to spark learners' curiosity, drive engagement, and show how rapid prototyping equipment can be woven into the curriculum. Additionally, it will guide participants on how to embed maker education into their own curricula to help foster and enhance learner  engagement in the classroom.",block,4/10/2025 11:00:00,4/10/2025 11:45:00,"Syd Telek, Veronica Newton",Pinnacle C
,Lunch,,,transition,4/10/2025 11:45:00,4/10/2025 12:30:00,,Stowe Rooms and Atrium
KEYNOTE,Keynote,,,keynote,4/10/2025 12:45:00,4/10/2025 13:30:00,Dr. Smita Ruzicka,Stowe Rooms
Session Block C,Connections: Tech Clinic and Connect with Presenters,,Do you have questions from a presentation you saw earlier in the day? Did you see a demonstration you're eager to try for youself with a guiding hand? We are excited to offer this Connections session for the first time at OBLC to allow presenters and attendees to connect on the finer points of any topics explored during the OBLC.,keynote,4/10/2025 13:45:00,4/10/2025 14:30:00,,Stowe Rooms
Session Block C,Funding Student Engagement and Flexible Pathways,,"Flexible pathways promote opportunities for students to achieve postsecondary readiness through high-quality educational experiences that acknowledge individual goals, learning styles, and abilities; and increase the rates of secondary school completion and postsecondary continuation. The Vermont Flexible Pathways Initiative identifies a number of pathways including dual enrollment, early college, work-based learning, career technical education, and virtual/blended learning. This presentation will look at how pathways are often not singular and are in fact combinations of multiple pathways that come together to create a more personalized learning experience.",block,4/10/2025 13:45:00,4/10/2025 14:30:00,Ryan Parkman,Pinnacle A
Session Block C,Dialectical Behavior Therapy (DBT) for Emotion Regulation with Students,,"This training will provide an overview of DBT STEPS-A, the curriculum used for for schools to teach students skills in emotion regulation, distress tolerance, mindfulness, walking the middle path (perspective taking) and interpersonal effectiveness. We will also share the results of our 3 year program working with youth, and describe ways that different school districts in NH have implemented DBT STEPS-A into their school environment.",block,4/10/2025 13:45:00,4/10/2025 14:30:00,Beth Salvi-Hudgins,Pinnacle B
,Closing,,,transition,4/10/2025 14:30:00,4/10/2025 15:00:00,,Stowe Rooms
S'mores and Bonfire,S'mores and Bonfire,,,keynote,4/10/2025 16:30:00,4/10/2025 18:30:00,,Courtyard
,Registration & Breakfast,,,transition,4/11/2025 8:00:00,4/11/2025 9:00:00,,Reception and Atrium
,Welcome,,,transition,4/11/2025 9:00:00,4/11/2025 9:45:00,,Stowe Rooms
Session Block D,"Navigating Phones in Schools: Trends, Resources, and Legislative Updates",,"This interactive workshop provides a comprehensive look at the role of phones in Vermont schools, with insights into emerging trends, resources, and relevant national news. We’ll begin by exploring recent Vermont trends on phone use policies, then examine evolving legislative updates that impact school policy choices across the state. We’ll also discuss national perspectives on managing phone use. Designed as a collaborative space, the workshop will allow participants to engage in ""problems of practice,"" where they can share challenges and solutions with peers. Through guided discussions, attendees will leave with a broader perspective on the latest news for addressing phone-related issues and fostering positive, focused learning environments. This workshop is ideal for school leaders, educators, and support staff seeking to stay informed and exchange ideas on this dynamic topic.",block,4/11/2025 10:00:00,4/11/2025 10:45:00,Mike McRaith,Pinnacle A
Session Block D,ESports,,,block,4/11/2025 10:00:00,4/11/2025 10:45:00,Harold Vance,Pinnacle B
Session Block D,Artificial Intelligence in an Online Classroom,,,block,4/11/2025 10:00:00,4/11/2025 10:45:00,Bridget Atkins,Pinnacle C
Session Block E,Gamifying Your Online Classroom,,"This workshop will explore the benefits of integrating online educational games into student learning. By providing an engaging and interactive platform, these games enhance critical thinking, collaboration, and subject mastery in a fun, dynamic way. Participants will learn: how games increase student interest and investment in learning, turning difficult topics into enjoyable challenges; understand how adaptive games can cater to different learning speeds and styles, offering a customized experience for every student.; explore how educational games foster essential skills such as problem-solving, decision-making, and teamwork; see how real-time feedback in games helps identify student weaknesses and track progress effectively.",block,4/11/2025 11:00:00,4/11/2025 11:45:00,Adrienne D'Olimpio,Pinnacle A
Session Block E,Elementary Student Engagement,,,block,4/11/2025 11:00:00,4/11/2025 11:45:00,"Jennifer Hindes, Jessica Leo",Pinnacle B
Session Block E,Use cases for Canvas Studio,,"Using Studio in Canvas as a tool to communicate with students and enhance their understanding of the learning content. Studio provides an exceptional tool to create videos for students in Canvas.  Creating video announcements each week, allows students to see and hear what assignments are due for the week.  They have the video to refer to, clearing any confusion about assignments. Studio videos also allow teachers to create a detailed video about an assignment specific to the student’s needs.  Students also have the opportunity to create video content for their own assignments and easily share and upload in Canvas.  By using Studio, one can choose to only share the screen and voice, share a small window of your face and screen or just your face. These options allow you to tailor your video to your needs. In this presentation we will dive into how to use Studio as a way to enhance student learning and engage learning.",block,4/11/2025 11:00:00,4/11/2025 11:45:00,Beth Rodondi,Pinnacle C
,Lunch,,,transition,4/11/2025 11:45:00,4/11/2025 12:30:00,,Stowe Rooms and Atrium
KEYNOTE,Student Panel,,,keynote,4/11/2025 12:45:00,4/11/2025 13:30:00,,Stowe Rooms
Session Block F,Connections: Tech Clinic and Connect with Presenters,,Do you have questions from a presentation you saw earlier in the day? Did you see a demonstration you're eager to try for youself with a guiding hand? We are excited to offer this Connections session for the first time at OBLC to allow presenters and attendees to connect on the finer details of any topics explored during the OBLC.,keynote,4/11/2025 13:45:00,4/11/2025 14:30:00,,Stowe Rooms
Session Block F,Empowering Exceptional Learners: How Academic Success Coaches Foster Executive Functioning Skills for Lifelong Learning,,"The presenter dives into the importance of Academic Success Coaches to encouraging student involvement, motivation, and accomplishment in virtual learning settings. With an increasing number of students choosing online learning, there is an ever-growing demand for individualized assistance. Academic Success Coaches are essential facilitators who offer direction, support, and accountability to students as they navigate the challenges of self-directed learning. Through consistent check-ins, goal-setting, and customized feedback, coaches establish a nurturing atmosphere that fosters resilience and academic achievement. This presentation will demonstrate tried-and-true methods that coaches use in both synchronous and asynchronous settings to foster positive relationships with students, meet a range of learning requirements, and boost motivation. Participants will learn how these coaches improve student performance by promoting involvement, enhancing time management, and guaranteeing a sense of belonging within the virtual learning community. By the end of the session, participants will understand the critical impact of Academic Success Coaches on student success in the ever-evolving landscape of online education.",block,4/11/2025 13:45:00,4/11/2025 14:30:00,Sonia Comstock,Pinnacle A
Session Block F,A multi-pathway approach to CTE Content Delivery (Online or In-house),,"During this workshop we'll explore a unique way of delivering curriculum to students that provides more choice to students in designing their educational experience within a CTE classroom. This presentation will be a demonstration of how this approach has worked for me with a full understanding that it may or may not work for others depending on the nature of their curriculum. The development of this educational model was done via an innovative program grant in 2008 that was intended to increase student retention in CTE, and create flexibility in program delivery as well as give students more choice in their educational pathway.",block,4/11/2025 13:45:00,4/11/2025 14:30:00,Zach McNaughton,Pinnacle B
,Closing,,,transition,4/11/2025 14:30:00,4/11/2025 15:00:00,,Stowe Rooms
